Id,Name,sustain_app__CalendarYear__c,sustain_app__Currency__c,sustain_app__DataSource__c,sustain_app__InflationRateKey__c,sustain_app__InflationRate__c
a0J1g0000044uF6EAI,IR-0075,2012,NZD,Based on annual CPI change since prior year,NZD-2012,2.6628
a0J1g0000044uFREAY,IR-0096,2012,AUD,Based on annual CPI change since prior year,AUD-2012,1.7628
a0J1g0000044uFSEAY,IR-0097,2013,AUD,Based on annual CPI change since prior year,AUD-2013,2.4499
a0J1g0000044uFTEAY,IR-0098,2014,AUD,Based on annual CPI change since prior year,AUD-2014,2.4879
a0J1g0000044uFUEAY,IR-0099,2015,AUD,Based on annual CPI change since prior year,AUD-2015,1.5084
a0J1g0000044uFVEAY,IR-0100,2016,AUD,Based on annual CPI change since prior year,AUD-2016,1.277
a0J1g0000044uFWEAY,IR-0101,2017,AUD,Based on annual CPI change since prior year,AUD-2017,1.9486
a0J1g0000044uFXEAY,IR-0102,2018,AUD,Based on annual CPI change since prior year,AUD-2018,1.9114
a0J1g0000044uFYEAY,IR-0103,2019,AUD,Based on annual CPI change since prior year,AUD-2019,1.6108
a0J1g0000044uFZEAY,IR-0104,2020,AUD,Based on annual CPI change since prior year,AUD-2020,0.8688
a0J1g0000044uFaEAI,IR-0105,2000,JPY,Based on annual CPI change since prior year,JPY-2000,-0.6766
a0J1g0000044uFbEAI,IR-0106,2001,JPY,Based on annual CPI change since prior year,JPY-2001,-0.7401
a0J1g0000044uFcEAI,IR-0107,2002,JPY,Based on annual CPI change since prior year,JPY-2002,-0.9235
a0J1g0000044uFdEAI,IR-0108,2003,JPY,Based on annual CPI change since prior year,JPY-2003,-0.2565
a0J1g0000044uFeEAI,IR-0109,2004,JPY,Based on annual CPI change since prior year,JPY-2004,-0.0086
a0J1g0000044uFfEAI,IR-0110,2005,JPY,Based on annual CPI change since prior year,JPY-2005,-0.2829
